id,score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day
466,Okay,Frank Thomas: Big Hurt Baseball,/games/frank-thomas-big-hurt-baseball/pc-672,PC,6,Sports,N,1996,11,25
825,Good,SWAT 2,/games/swat-2/pc-4024,PC,7,"Action, Simulation",N,1998,8,11
827,Mediocre,SEGA Touring Car Championship,/games/sega-touring-car-championship/pc-3661,PC,5,Racing,N,1998,7,31
828,Okay,Fox Sports Golf '99,/games/fox-sports-golf-99/pc-3881,PC,6,Sports,N,1998,7,31
829,Bad,Army Men,/games/army-men/pc-3782,PC,4,Action,N,1998,7,31
830,Okay,Revenge of Arcade,/games/revenge-of-arcade/pc-3980,PC,6,Action,N,1998,7,31
831,Bad,Dominion: Storm Over Gift 3,/games/dominion-storm-over-gift-3/pc-3742,PC,4,Strategy,N,1998,7,31
832,Great,Addiction Pinball,/games/addiction-pinball/pc-3831,PC,8,Pinball,N,1998,7,30
849,Mediocre,Dune 2000,/games/dune-2000/pc-2330,PC,5.3,Strategy,N,1998,9,16
851,Awful,M.A.X. 2,/games/max-2/pc-3829,PC,3.7,Strategy,N,1998,9,15
854,Good,MechCommander,/games/mechcommander/pc-3835,PC,7.8,Strategy,N,1998,8,18
855,Painful,Pro Bass Fishing,/games/pro-bass-fishing/pc-4031,PC,2.9,Hunting,N,1998,8,18
856,Good,WarGames,/games/wargames/pc-3963,PC,7,Strategy,N,1998,8,18
857,Mediocre,Triple Play '99,/games/triple-play-99/pc-3137,PC,5,Sports,N,1998,8,13
858,Good,High Heat Baseball 1999,/games/high-heat-baseball-1999/pc-3858,PC,7,Sports,N,1998,8,13
859,Mediocre,Flesh Feast,/games/flesh-feast/pc-3636,PC,5,Action,N,1998,8,13
860,Amazing,Grim Fandango,/games/grim-fandango/pc-3100,PC,9.4,Adventure,Y,1998,11,3
862,Good,Return Fire II,/games/return-fire-ii/pc-9953,PC,7.8,Strategy,N,1998,11,2
863,Okay,Hedz,/games/hedz/pc-10460,PC,6.5,Action,N,1998,11,2
869,Good,Red Jack: Revenge of the Brethren,/games/red-jack-revenge-of-the-brethren/pc-10369,PC,7,Adventure,N,1998,10,20
875,Good,NCAA Football '99,/games/ncaa-football-99/pc-10182,PC,7,Sports,N,1998,9,11
877,Good,Incoming,/games/incoming/pc-2282,PC,7,Action,N,1998,8,13
878,Bad,Deathtrap Dungeon,/games/deathtrap-dungeon/pc-4026,PC,4.7,Action,N,1998,8,13
879,Okay,HardBall 6,/games/hardball-99/pc-3752,PC,6,Sports,N,1998,8,13
880,Great,Forsaken,/games/forsaken/pc-3104,PC,8.5,Action,N,1998,8,13
881,Okay,Urban Assault,/games/urban-assault/pc-3139,PC,6.8,Strategy,N,1998,8,13
